23, -67.102928 0.866471 0.464416 0.617635 0.283102 0.259767 0.171027 0.141296 0.121305 0.10869 0.10286 0.113186 0.081724 0.08586 0.045913 0.071196 0.017278 0.100619 0.012764 0.070569 0.013917 0.047453 0.009923 0.038833;
24, -67.409515 0.428029 0.195279 0.158218 0.167155 0.192366 0.114901 0.102357 0.088638 0.080547 0.072662 0.068503 0.056186 0.054286 0.047207 0.05089 0.031662 0.027719 0.026098 0.045515 0.014122 0.0191 0.01008 0.02536;
25, -66.696449 1.325146 0.361821 0.5317 0.195871 0.294569 0.036979 0.249868 -0.098138 0.249324 -0.016771 0.17955 0.029626 0.15576 0.068999 0.145672 0.025631 0.127088 0.066463 0.10986 0.048527 0.095912 0.035242 0.068542;
26, -63.342781 8.663431 0.919696 1.537482 0.77062 1.322703 -0.312759 0.864605 -0.022753 0.336818 0.114364 0.289146 -0.09908 0.388919 0.251539 0.514666 -0.311392 0.655936 0.269936 0.639836 -0.184656 0.427034 0.125476 0.251914;
27, -62.91983 8.807434 1.307425 1.672408 0.611982 0.95814 -0.233015 0.850771 -0.003189 0.393961 0.050454 0.293122 -0.147763 0.444114 0.173777 0.47154 -0.263046 0.573334 0.191661 0.508736 -0.188085 0.419562 0.122844 0.284108;
28, -67.208687 0.808306 0.257659 0.37709 0.184651 0.238967 0.083961 0.182754 0.046795 0.137417 0.039476 0.07915 0.013096 0.096581 0.048791 0.104244 -0.002235 0.131947 0.032886 0.100428 -0.020529 0.109554 0.014085 0.088498;
29, -66.537529 2.823103 0.476936 0.856316 0.202058 0.39141 0.105539 0.277641 0.006375 0.277797 0.078679 0.175754 0.043668 0.164292 0.058769 0.1332 -0.034704 0.184844 0.057539 0.259442 -0.05692 0.200047 -0.006021 0.06486;
30, -63.094425 9.208716 1.201313 1.551714 0.564833 0.829125 -0.248141 0.846807 0.056976 0.407587 0.032923 0.241683 -0.049027 0.310832 0.083533 0.282278 -0.244286 0.479045 0.13938 0.435502 -0.204432 0.436951 0.102654 0.267536;
31, -65.573494 3.570866 1.25485 1.576451 0.369078 0.513573 -0.165487 0.339091 -0.236216 0.368057 -0.08581 0.264171 0.053282 0.1949 0.113132 0.236432 0.004146 0.229816 0.049954 0.182157 -0.003202 0.19892 0.046508 0.14521;
32, -66.928917 1.869484 -0.233263 0.995571 0.277295 0.553247 0.14081 0.268949 0.040028 0.246038 0.152994 0.260948 0.012855 0.187262 0.100694 0.168114 0.016948 0.08275 0.049334 0.100909 0.001478 0.079641 0.027728 0.064522;
33, -67.256233 1.462923 -0.011474 0.525859 0.145648 0.265925 0.09387 0.168642 0.049763 0.107365 0.055294 0.076526 0.032427 0.075371 0.044254 0.081657 -0.000996 0.094105 0.026092 0.066639 -0.000676 0.047866 0.012759 0.037136;
34, -63.583298 3.341756 3.222774 2.529856 1.405916 1.021016 -0.110875 0.514907 -0.829818 0.76009 -0.853389 0.668145 -0.563619 0.499025 -0.318949 0.391362 -0.176111 0.297088 -0.032138 0.238196 0.105842 0.25608 0.125206 0.208117;
35, -64.476364 1.913627 2.532534 1.36878 1.109872 0.585427 -0.0848 0.649778 -0.628292 0.657933 -0.628467 0.561732 -0.371968 0.48256 -0.154797 0.386278 -0.098251 0.272792 -0.093187 0.275418 -0.037734 0.240288 0.013027 0.163757;
36, -63.960342 2.147239 2.950671 1.666823 1.24893 0.710046 -0.27102 0.505884 -0.958973 0.657618 -0.887398 0.573539 -0.522256 0.501909 -0.253357 0.394539 -0.142708 0.270635 -0.066391 0.202533 0.017312 0.191737 0.046111 0.150094;
37, -62.83688 4.994291 2.719293 1.740535 0.554662 0.919993 0.047363 0.919275 -0.410098 0.569031 -0.454265 0.672455 -0.066818 0.478673 0.047765 0.371047 -0.141265 0.349215 -0.177061 0.320356 -0.038106 0.233669 0.09557 0.258979;
38, -64.114281 4.681643 2.074242 1.553109 0.727109 0.962978 0.143732 0.711244 -0.33147 0.64537 -0.553671 0.619387 -0.46066 0.537888 -0.27917 0.325023 -0.217514 0.306677 -0.120443 0.263258 -0.035513 0.213015 0.017654 0.165428;
