70, 0.5 0.5 1. 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.5 1.5 1. 0.5 1. 1.5 1. 0.5 1. 2.;
71, 1. 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.5 1. 0.5 4.5;
72, 0.666016 0.666992 2. 1.5 0.5 2. 1.5 0.5 2.5 0.5 0.5 0.5 3.333008 0.333984 0.333008 1.5 0.5 1. 0.333008 0.333984 0.333008 1.5 2.5;
73, 0.333984 0.333008 3.;
74, 0.666016 0.666992 3.;
75, 0.333984 0.333008 3.5 0.5 1.5 0.5 2.;
76, 0.5 0.5 0.75 0.25 6.;
77, 0.5 2.;
78, 0.5 0.5 0.75 0.25 2. 2. 2.;
79, 0.5 3.5 0.5 3.5 0.5 0.666992 0.666016 2.666992 2.;
80, 0.5 0.666992 2.833008 0.5 2.5 1.166992 0.333008 0.5 7. 0.5 3.5 0.25 0.25 2.666992 0.333008 0.333008 0.333984 0.333008 3.5 0.5 1.5 0.5 1. 0.333008 0.333984 0.333008 2. 2. 2. 2. 3.5 0.5 2. 1.5 0.5 2.;
81, 0.666016 0.666992 2. 1.333008 0.333984 0.333008 3.5 0.5 2.5 0.5 0.5 0.5 3.5 0.25 0.25 1.5 0.5 1.;
82, 0.333984 0.333008 1.5 2.5;
83, 0.333984 0.333008 2. 1.333008 0.333984 0.333008 2. 0.5 0.5 0.75 0.25 2. 2.;
84, 0.25 0.25 0.5 3.;
85, 0.333984 0.333008 3.25 0.5 0.25 1.5 0.5 0.5 0.25 1. 0.25 0.5 0.5 2.75 0.25 1. 1. 1. 1. 3.5 0.5 4.;
86, 1. 0.5 1. 0.5 2.;
87, 1. 0.5 0.5 0.5 2.;
88, 1. 1. 1. 1. 2.;
89, 0.25 0.25 1.5 1.5 0.5 1. 1.5 0.5 0.5 0.5 1. 1. 1. 0.5 0.5 1. 1.5 1. 0.5 1. 0.5 2.;
90, 0.5 0.5 1. 1. 1. 2.;
91, 0.25 0.25 1.5 1.5 0.5 1. 1.5 0.5 0.5 0.5 1. 1. 1. 0.5 0.5 1. 1. 3.5;
92, 0.25 0.25 1.5 1.5 0.5 1. 1.5 0.5 0.5 0.5 1. 1. 1. 0.5 0.5 2.;
93, 0.25 0.25 0.5 0.75 0.25;
94, 0.25 0.25 0.25 1. 0.25 0.25 0.25 0.25 0.5 0.75 0.25 0.25 0.25 0.25 0.25 0.5 0.25 0.25 0.25 0.25 0.75 0.25;
95, 0.5 1.5 0.5 6.333008;
96, 0.333984 0.333008 0.25 0.25 0.25 0.25 5.5;
97, 0.5 1.5 0.5 7.5;
98, 0.5 3.5;
99, 0.25 0.25 3.5;
100, 0.25 0.25 1.5 2.;
101, 0.5 2.333008;
102, 0.333984 0.333008 0.333008 0.333984 0.333008 2.333008;
103, 0.333984 0.333008 0.5 0.25 0.25 2.;
104, 0.25 0.25 0.25 0.75 0.25;
105, 0.25 0.25 0.25 0.5 0.75 0.25 0.25 0.25 0.25 0.25 0.5 0.25 0.25 0.25 0.25 0.75 0.25;
106, 0.25 0.25 0.25 0.5 0.75 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.5 5.;
107, 1. 3.;
108, 1. 1.5 1.5 1.5 1. 1.5 4.;
109, 1. 3.5;
110, 0.5 4.;
111, 1. 1.5 1.5 1.5 0.5 2.;
112, 1. 1. 1. 1. 3.5;
113, 1.5 0.5 2.;
114, 1. 1. 0.5 1.5 4.;
115, 1. 1. 0.5 1.5 1.5 0.5 2.;
116, 1. 1. 0.5 1.5 2.;
117, 1. 1. 0.5 1.5 0.25 0.25 0.5 0.75 0.25;
118, 0.25 0.25 0.25 1. 0.25 0.25 0.25 0.25 0.5 0.75 0.25 0.25 0.25 0.25 0.25 0.25 0.25;
